period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
51,4.0,0.6,34.5679012345679,21.4320987654321,0.0,0.0,0.6,0.0,0.6,15.74024024024024,0.0,0.0,0.0,15.74024024024024,0.0,0.7766904761904765,2.4,0.0,2.4,2.4,140.0
52,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,17.388888888888886,0.0,0.0,0.0,17.388888888888886,0.0,0.7759259259259264,0.0,-0.0,0.0,0.0,140.0
53,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,17.08858858858859,0.0,0.0,0.0,17.08858858858859,0.0,0.7685185185185188,0.0,-0.0,0.0,0.0,140.0
54,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,23.24174174174174,0.0,0.0,0.0,23.24174174174174,0.0,0.7611111111111115,0.0,-0.0,0.0,0.0,140.0
55,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,28.644144144144143,0.0,0.0,0.0,28.644144144144143,0.0,0.753703703703704,0.0,-0.0,0.0,0.0,140.0
56,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,31.346846846846844,0.0,0.0,0.0,31.346846846846844,0.0,0.7462962962962967,0.0,-0.0,0.0,0.0,140.0
57,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,31.94744744744745,0.0,0.0,0.0,31.94744744744745,0.0,0.7388888888888892,0.0,-0.0,0.0,0.0,140.0
58,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,35.9984984984985,0.0,0.0,0.0,35.9984984984985,0.0,0.7314814814814818,0.0,-0.0,0.0,0.0,140.0
59,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,34.1966966966967,0.0,0.0,0.0,34.1966966966967,0.0,0.7240740740740743,0.0,-0.0,0.0,0.0,140.0
60,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,35.247747747747745,0.0,0.0,0.0,35.247747747747745,0.0,0.716666666666667,0.0,-0.0,0.0,0.0,140.0
