period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
45,3.9999999999999813,0.5999999999999972,25.925925925925927,2.074074074074095,28.0,0.0,0.0,0.0,2.7755575615628914e-15,0.0,7.399099099099097,0.0,8.881784197001252e-16,0.0,7.399099099099097,0.0,0.5204616125408625,1066.9463057087683,20.408163265306122,0.0,-0.0,0.0,0.38476696098648927,404.00530903581375,178.5,0.17,0.2,20.0,0.7350039148319158,0.0,-0.0,0.0,0.0,105.0
46,6.0,0.8999999999999999,25.925925925925927,28.074074074074076,0.0,0.0,0.0,0.9,0.0,0.8999999999999999,8.809009009009007,2.1000000000000005,0.0,2.099999999999997,8.809009009009007,0.0,0.5266649152328029,1079.663076227246,142.85714285714286,1.2,0.0,1.2,0.23381458003410832,245.50530903581372,0.0,0.0,1.4,140.0,0.7300912164192175,0.0,-0.0,0.0,0.0,105.0
47,4.0,0.6,25.925925925925927,30.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,6.58828828828829,0.0,0.0,2.6645352591003757e-15,6.58828828828829,0.0,0.47213493058264755,967.8766076944274,20.408163265306122,0.0,-0.0,0.0,0.3671479133674416,385.5053090358137,0.0,0.0,0.2,20.0,0.7344999465779476,0.0,-0.0,0.0,0.0,105.0
48,0.0,0.0,32.0,28.0,0.0,0.0,0.0,0.0,-0.0,0.0,15.22252252252252,0.0,1.7763568394002505e-15,0.0,15.22252252252252,0.0,0.4774614152126235,978.7959011858782,20.408163265306122,0.0,-0.0,0.0,0.38619553241506066,405.5053090358137,0.0,0.0,0.2,20.0,0.7355872481652492,0.0,-0.0,0.0,0.0,129.6
49,0.0,0.0,32.0,28.0,0.0,0.0008666666666666666,10.4,0.0,-0.0,0.0,14.23153153153153,0.0,0.0,0.0,14.23153153153153,0.0,0.4837899776277016,991.7694541367882,20.408163265306122,0.0,-0.0,0.0,0.4052431514626797,425.5053090358137,0.0,0.0,0.2,20.0,0.7287301053081063,0.0,-0.0,0.0,0.0,129.6
50,3.9999999999999933,0.599999999999999,32.0,24.000000000000007,0.0,0.0017333333333333333,20.8,0.0,9.992007221626409e-16,0.0,17.17387387387387,0.0,3.552713678800501e-15,0.0,17.17387387387387,0.0,0.4842313330553044,992.674232763374,20.408163265306122,0.0,0.0,3.552713678800501e-15,0.42429077051029873,445.5053090358137,0.0,0.0,0.2,20.0,0.7218729624509634,0.0,-0.0,0.0,0.0,129.60000000000002
51,6.0,0.8999999999999999,32.0,1.9991672100686664,20.000832789931334,0.0026,31.2,0.9,0.0,0.8999999999999999,19.844144144144135,0.0,3.552713678800501e-15,0.0,19.844144144144135,0.0,0.4860505454374227,996.4036181467166,142.8571428571425,1.2,0.0,1.2,0.44333838955791777,465.50530903581364,127.50530903581225,0.12143362765315452,1.3999999999999964,139.99999999999963,0.7216586767366777,0.8999999999999977,0.0,0.8999999999999977,0.8999999999999977,129.6
52,8.0,1.2,32.0,0.0,20.0,0.0034666666666666665,41.6,0.8999999999999999,0.0,0.8999999999999999,22.33333333333333,0.0,0.0,0.0,22.33333333333333,0.0,0.4248817954609656,871.0076806949795,142.8571428571425,1.2,0.0,1.2,0.4552380952380963,478.0000000000011,127.5,0.12142857142857143,1.3999999999999964,139.99999999999963,0.720479926853121,0.8999999999999981,0.0,0.8999999999999981,0.8999999999999981,129.6
53,4.0,0.6,32.0,0.0,24.0,0.004333333333333333,52.0,0.6,0.0,0.6,22.453153153153156,0.599999999999999,0.0,0.6000000000000014,22.453153153153156,0.0,0.36333726631509516,744.8413959459451,20.408163265306122,0.0,-0.0,0.0,0.4671428571428578,490.5000000000007,153.0,0.1457142857142857,0.2,20.0,0.722622783995978,0.0,-0.0,0.0,0.0,129.6
54,4.0,0.6,32.0,24.0,0.0,0.0052,62.4,0.6,0.0,0.6,27.345045045045048,0.6000000000000043,0.0,0.600000000000005,27.345045045045048,0.0,0.362651284234458,743.435132680639,20.408163265306122,0.0,-0.0,0.0,0.34047619047619115,357.50000000000074,0.0,0.0,0.2,20.0,0.7172656411388352,0.0,-0.0,0.0,0.0,129.60000000000002
